,C,H,N,O,S,HHV
211,52.55,6.15,0.06,41.23,0.02,21.33
212,53.69,5.89,0.06,40.36,0.02,21.51
213,56.99,5.87,0.07,37.07,0.02,22.97
214,53.79,6.03,0.14,39.51,0.0,25.26
215,56.56,5.85,0.16,36.9,0.0,26.05
216,59.11,5.52,0.17,34.7,0.0,26.59
217,52.99,5.98,0.12,40.56,0.0,24.91
218,56.12,5.85,0.14,37.69,0.0,25.89
219,58.48,5.6,0.14,35.58,0.0,26.45
220,52.72,5.88,0.06,40.86,0.03,16.55
221,48.86,6.08,0.05,44.57,0.03,19.53
222,51.4,5.9,0.1,42.3,0.0,20.59
223,53.6,5.9,0.1,40.0,0.0,21.42
224,55.2,5.7,0.1,38.6,0.0,22.14
225,55.2,5.6,0.1,38.7,0.0,22.19
226,55.8,5.8,0.1,37.9,0.0,22.33
227,69.2,5.0,0.1,25.0,0.0,27.59
228,47.9,5.6,0.49,38.2,0.18,18.76
229,50.9,5.4,0.3,33.7,0.17,20.01
230,51.7,5.2,0.34,33.0,0.21,20.01
231,56.5,5.1,0.46,27.8,0.23,21.65
232,56.21,4.44,0.42,32.81,1.14,27.11
233,50.87,5.56,0.31,38.14,1.48,23.53
234,49.01,4.83,0.37,38.9,0.99,22.27
235,47.4,5.5,1.0,36.8,0.0,18.1
236,52.9,5.0,1.2,28.5,0.0,20.7
237,57.0,4.5,1.4,21.9,0.0,23.0
238,35.08,3.43,0.64,40.58,0.0,19.4
239,55.32,5.97,0.0,38.21,0.0,22.09
240,56.5,5.86,0.0,37.04,0.0,22.64
241,59.44,5.74,0.0,33.82,0.0,23.93
242,55.29,6.07,0.81,35.72,0.0,21.8
243,53.47,5.91,0.75,38.3,0.0,21.0
244,59.19,5.69,0.35,32.79,0.0,23.6
